Field1,Field3,Time
236. My Brilliant Friend,28 eps,8.6
237. Alchemy of Souls,30 eps,8.7
238. Hannibal,39 eps,8.5
239. Heartstopper,24 eps,8.6
240. Extraordinary Attorney Woo,16 eps,8.6
241. From the Earth to the Moon,12 eps,8.6
242. Avrupa Yakasi,190 eps,8.6
243. Letterkenny,81 eps,8.6
244. Wentworth,100 eps,8.6
245. Umbre,21 eps,8.7
246. Your Lie in April,24 eps,8.5
247. Gintama,375 eps,8.7
248. Community,110 eps,8.5
249. The Rehearsal,7 eps,8.5
250. Mahabharat,267 eps,9.0
